CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U55101GA2007PTC005233,SUN EASTEN HOLIDAY HOMES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2007-04-12,"7/8, RAMCONS RESIDENCY   BETALBATIM,MARGAO,South Goa,Goa,403716-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2007PTC005237,MICHAEL HILDE RESORTS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2007-04-12,"C/O ADV A. F CORDEIRO   H.NO: 62 TRAVESSA PINTO CORDEIRO, ANGOD,MAPUSA,North Goa,Goa,403507-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2007PTC005292,NELSONS HOLIDAY HOMES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2007-05-09,"1, PLAZA MARIA LILIA   ST ALEX CHURCH, NAIKAVADDO,CALANGUTE,North Goa,Goa,403516-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2007PTC005298,RAWLINSON RETREAT GUEST HOUSE PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2007-05-09,"1, PLAZA MARIA LILIA   BEHIND ST ALEX CHURCH, NAIKAVADDO,CALANGUTE,North Goa,Goa,403516-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2007PTC005301,MICHAEL KELLETTS MUSICAL RESORTS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,2800000.00,2213400.00,2007-05-10,"H NO 155/2, RAUTO VADDO   NAGOA BARDEZ GOA,NAGOA,North Goa,Goa,403515-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2007PTC005332,AVRON RESORTS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2007-05-30,"5,PLAZA MARIA LILIA,BEHIND ST.ALEX CHURCH   NAIKA VADDO,CALANGUTE,North Goa,Goa,403516-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2007PTC005428,NAMYO HOSPITALITY PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2007-09-20,"801 BLOCK A   SHALOM,  8th FLOOR, MIRAMAR,PANAJI,Goa,403002-India",Unlisted,Active,goa,Indian,55101,Trading
U55101GA2007PTC005432,GENIUS HOLIDAY HOMES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,214200.00,2007-09-21,"172/1, PEACE VALLEY   DEUMOL, SHIRVOI,QUEPEM,South Goa,Goa,403705-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2007PTC005503,KLIM RESTAURANT PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2007-11-27,"H. NO.A838,   PORTA VADDO,,SIOLIM,North Goa,Goa,403517-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2007PTC005516,FIBIS RESORTS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2007-12-06,"ANDRE DESA CM 663   ANJUNA,BARDEZ,North Goa,Goa,403509-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2008PTC005544,THEWLIS HOLIDAY HOMES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,0.00,2008-01-10,"HOUSE NO 95,FURTO WADDO   NERUL P.O. REIS MAGOS,BARDEZ,North Goa,Goa,403114-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2008PTC005590,EAMON HOLIDAY APARTMENTS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,0.00,2008-02-12,"FLAT BG3   PASH BEACH ARCADE, BEACH ROAD,BENAULIM,South Goa,Goa,403716-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2008PTC005628,LAZY LAGOON RESORTS (GOA) PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,100000.00,2008-02-23,"2ND FLOOR, JOFFRE RESIDENCY   BEHIND GOA PHARMACY COLLEGE,PANAJI,North Goa,Goa,403001-India",Unlisted,Strike Off,goa,Indian,55101,Trading
